Domain,Type,Sponsoring Organisation,Date
.abbott,generic,"Abbott Laboratories, Inc.",2025-06-12
.abogado,generic,Top Level Domain Holdings Limited,2025-06-12
.academy,generic,"Half Oaks, LLC",2025-06-12
.accountant,generic,dot Accountant Limited,2025-06-12
.accountants,generic,"Knob Town, LLC",2025-06-12
.active,generic,"The Active Network, Inc",2025-06-12
.actor,generic,United TLD Holdco Ltd.,2025-06-12
.ads,generic,Charleston Road Registry Inc.,2025-06-12
.adult,generic,ICM Registry AD LLC,2025-06-12
.afl,generic,Australian Football League,2025-06-12
.agency,generic,"Steel Falls, LLC",2025-06-12
.airforce,generic,United TLD Holdco Ltd.,2025-06-12
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,2025-06-12
.alsace,generic,REGION D ALSACE,2025-06-12
.amsterdam,generic,Gemeente Amsterdam,2025-06-12
.android,generic,Charleston Road Registry Inc.,2025-06-12
.apartments,generic,"June Maple, LLC",2025-06-12
.aquarelle,generic,Aquarelle.com,2025-06-12
.archi,generic,STARTING DOT LIMITED,2025-06-12
.army,generic,United TLD Holdco Ltd.,2025-06-12
.associates,generic,"Baxter Hill, LLC",2025-06-12
.attorney,generic,"United TLD Holdco, Ltd",2025-06-12
.auction,generic,"United TLD HoldCo, Ltd.",2025-06-12
.audio,generic,"Uniregistry, Corp.",2025-06-12
.autos,generic,"DERAutos, LLC",2025-06-12
.axa,generic,AXA SA,2025-06-12
.band,generic,"United TLD Holdco, Ltd",2025-06-12
.bank,generic,"fTLD Registry Services, LLC",2025-06-12
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-06-12
.barclaycard,generic,Barclays Bank PLC,2025-06-12
.barclays,generic,Barclays Bank PLC,2025-06-12
.bargains,generic,"Half Hallow, LLC",2025-06-12
.bauhaus,generic,Werkhaus GmbH,2025-06-12
.bayern,generic,Bayern Connect GmbH,2025-06-12
.bbc,generic,British Broadcasting Corporation,2025-06-12
.beer,generic,Top Level Domain Holdings Limited,2025-06-12
.berlin,generic,dotBERLIN GmbH & Co. KG,2025-06-12
.best,generic,BestTLD Pty Ltd,2025-06-12
.bid,generic,dot Bid Limited,2025-06-12
.bike,generic,"Grand Hollow, LLC",2025-06-12
